0,0
50,7.02131
100,11.3738
150,15.0445
200,17.6967
250,21.6029
300,26.6235
350,32.4935
400,41.4859
450,45.7786
500,56.5593
550,69.1563
600,79.118
650,91.6202
700,100.803
750,113.674
800,120.884
850,126.366
900,132.979
950,139.041
1000,140.968
1050,141.573
1100,143.073
1150,143.981
1200,144.53
1250,144.862
1300,145.063
1350,143.637
1400,146.908
1450,148.588
1500,153.12
1550,155.862
1600,157.521
1650,158.525
1700,159.133
1750,159.5
1800,159.722
1850,159.857
1900,159.938
1950,156.846
2000,160.431
2050,161.16
2100,161.601
2150,161.868
2200,162.464
2250,163.257
2300,164.55
2350,169.428
2400,172.188
2450,176.054
2500,178.321
2550,179.693
2600,180.523
2650,181.026
2700,181.329
2750,181.513
2800,181.624
2850,181.692
2900,181.732
2950,179.637
3000,183.052
3050,183.741
3100,184.656
3150,186.663
3200,189.134
3250,190.629
3300,191.588
3350,192.671
3400,193.887
3450,195.043
3500,195.871
3550,196.566
3600,196.835
3650,199.928
3700,201.794
3750,202.923
3800,203.17
3850,200.953
3900,204.114
3950,205.115
4000,205.721
4050,206.088
4100,206.31
4150,206.491
4200,207.221
4250,205.263
4300,208.621
4350,209.781
4400,211.566
4450,212.723
4500,212.389
4550,213.936
4600,214.872
4650,215.438
