-11.2365,-11.4701,-11.4905,-11.4862,-11.4806
-10.9463,-10.9437,-10.7528,-10.9406,-11.01
-9.75203,-9.78091,-9.68492,-9.76102,-9.6934
-9.71719,-9.67282,-9.72699,-9.76672,-9.76273
5.3737,5.39879,5.83425,7.68249,5.08025
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7.48291,-0.640987,-0.960689,-1.08946,-0.781079
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-1.77991,-1.87816,-1.72069,-1.86268,-1.88065
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-1.08597,-1.15865,-1.29739,-1.17072,14.7283
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8.60728,8.54355,8.63379,5.47904,14.0879
0,-0.1,-0.1,0,0
0,0,0,0,0
0,0,0,0,0
-1.69294,-1.79547,-1.80688,-1.74489,1.36229
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.59402,-0.5582,-0.430945,-0.398,-0.449853
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.8751,-0.95233,-0.951279,-0.966653,5.28756
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10.5545,-0.2,0,0,0.554229
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.2,-0.209,0,-0.2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.2,-0.218,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-2.28744,-2.2723,-2.31692,-2.2723,-2.38526
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8.56916,0,0,-0.002,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.2,-0.2,-0.23582,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.2,-0.2,0,0,0
-1.37837,-1.68962,-1.58725,-1.54511,-1.47306
-2.74997,-2.0276,-2.34105,-2.08712,-2.55609
